year,round,constructorId,constructor,n_entries_season,n_mech_season,reliability_mean,reliability_sigma
2021,10,6,Ferrari,20,1,0.90625,0.05074025880537429
2021,10,9,Red Bull,20,0,0.9375,0.04213749140395263
2021,10,51,Alfa Romeo,20,0,0.9375,0.04213749140395263
2021,10,117,Aston Martin,20,1,0.90625,0.05074025880537429
2021,10,131,Mercedes,20,1,0.90625,0.05074025880537429
2021,10,210,Haas F1 Team,20,0,0.9375,0.04213749140395263
2021,10,213,AlphaTauri,20,1,0.90625,0.05074025880537429
2021,10,214,Alpine F1 Team,20,2,0.875,0.057570773308979785
2021,11,1,McLaren,22,0,0.9411764705882353,0.03977196492840078
2021,11,3,Williams,22,2,0.8823529411764706,0.054460005868973614
2021,11,6,Ferrari,22,1,0.9117647058823529,0.04794336748099466
2021,11,9,Red Bull,22,0,0.9411764705882353,0.03977196492840078
2021,11,51,Alfa Romeo,22,0,0.9411764705882353,0.03977196492840078
2021,11,117,Aston Martin,22,1,0.9117647058823529,0.04794336748099466
2021,11,131,Mercedes,22,1,0.9117647058823529,0.04794336748099466
2021,11,210,Haas F1 Team,22,0,0.9411764705882353,0.03977196492840078
2021,11,213,AlphaTauri,22,1,0.9117647058823529,0.04794336748099466
2021,11,214,Alpine F1 Team,22,2,0.8823529411764706,0.054460005868973614
2021,12,1,McLaren,24,0,0.9444444444444444,0.03765746607803139
2021,12,3,Williams,24,2,0.8888888888888888,0.051665617219475234
2021,12,6,Ferrari,24,1,0.9166666666666666,0.04543747973385589
2021,12,9,Red Bull,24,0,0.9444444444444444,0.03765746607803139
2021,12,51,Alfa Romeo,24,0,0.9444444444444444,0.03765746607803139
2021,12,117,Aston Martin,24,1,0.9166666666666666,0.04543747973385589
2021,12,131,Mercedes,24,1,0.9166666666666666,0.04543747973385589
2021,12,210,Haas F1 Team,24,0,0.9444444444444444,0.03765746607803139
2021,12,213,AlphaTauri,24,1,0.9166666666666666,0.04543747973385589
2021,12,214,Alpine F1 Team,24,2,0.8888888888888888,0.051665617219475234
2021,13,1,McLaren,26,0,0.9473684210526316,0.03575611686772408
2021,13,3,Williams,26,3,0.868421052631579,0.05412850994785805
2021,13,6,Ferrari,26,1,0.9210526315789473,0.04317961337591405
2021,13,9,Red Bull,26,0,0.9473684210526316,0.03575611686772408
2021,13,51,Alfa Romeo,26,0,0.9473684210526316,0.03575611686772408
2021,13,117,Aston Martin,26,1,0.9210526315789473,0.04317961337591405
2021,13,131,Mercedes,26,1,0.9210526315789473,0.04317961337591405
2021,13,210,Haas F1 Team,26,1,0.9210526315789473,0.04317961337591405
2021,13,213,AlphaTauri,26,2,0.8947368421052632,0.049142082202518554
2021,13,214,Alpine F1 Team,26,2,0.8947368421052632,0.049142082202518554
2021,14,1,McLaren,28,0,0.95,0.03403728228525088
2021,14,3,Williams,28,3,0.875,0.05164961690883359
2021,14,6,Ferrari,28,1,0.925,0.04113481701347057
2021,14,9,Red Bull,28,0,0.95,0.03403728228525088
2021,14,51,Alfa Romeo,28,0,0.95,0.03403728228525088
2021,14,117,Aston Martin,28,1,0.925,0.04113481701347057
2021,14,131,Mercedes,28,1,0.925,0.04113481701347057
2021,14,210,Haas F1 Team,28,2,0.9,0.04685212856658182
2021,14,213,AlphaTauri,28,4,0.85,0.055765187147188665
2021,14,214,Alpine F1 Team,28,2,0.9,0.04685212856658182
2021,15,1,McLaren,30,0,0.9523809523809523,0.0324759209271654
2021,15,3,Williams,30,3,0.8809523809523809,0.049385828738172384
2021,15,6,Ferrari,30,1,0.9285714285714286,0.039274386769225546
2021,15,9,Red Bull,30,0,0.9523809523809523,0.0324759209271654
2021,15,51,Alfa Romeo,30,0,0.9523809523809523,0.0324759209271654
2021,15,117,Aston Martin,30,1,0.9285714285714286,0.039274386769225546
2021,15,131,Mercedes,30,1,0.9285714285714286,0.039274386769225546
2021,15,210,Haas F1 Team,30,3,0.8809523809523809,0.049385828738172384
2021,15,213,AlphaTauri,30,4,0.8571428571428572,0.053363383402687745
2021,15,214,Alpine F1 Team,30,2,0.9047619047619048,0.0447649677329075
2021,16,1,McLaren,32,0,0.9545454545454546,0.03105136595745333
2021,16,3,Williams,32,3,0.8863636363636364,0.04731059089695756
2021,16,6,Ferrari,32,1,0.9318181818181819,0.0375745356595068
2021,16,9,Red Bull,32,0,0.9545454545454546,0.03105136595745333
2021,16,51,Alfa Romeo,32,0,0.9545454545454546,0.03105136595745333
2021,16,117,Aston Martin,32,1,0.9318181818181819,0.0375745356595068
2021,16,131,Mercedes,32,1,0.9318181818181819,0.0375745356595068
2021,16,210,Haas F1 Team,32,3,0.8863636363636364,0.04731059089695756
2021,16,213,AlphaTauri,32,4,0.8636363636363636,0.051157403079194336
2021,16,214,Alpine F1 Team,32,2,0.9090909090909091,0.04285495643554833
2021,17,1,McLaren,34,0,0.9565217391304348,0.029746411083836313
2021,17,3,Williams,34,3,0.8913043478260869,0.04540149668833002
2021,17,6,Ferrari,34,1,0.9347826086956522,0.03601538772075997
2021,17,9,Red Bull,34,0,0.9565217391304348,0.029746411083836313
2021,17,51,Alfa Romeo,34,0,0.9565217391304348,0.029746411083836313
2021,17,117,Aston Martin,34,1,0.9347826086956522,0.03601538772075997
2021,17,131,Mercedes,34,1,0.9347826086956522,0.03601538772075997
2021,17,210,Haas F1 Team,34,3,0.8913043478260869,0.04540149668833002
2021,17,213,AlphaTauri,34,5,0.8478260869565217,0.05239315637308316
2021,17,214,Alpine F1 Team,34,4,0.8695652173913043,0.0491245811187854
2021,18,1,McLaren,36,0,0.9583333333333334,0.028546616210194758
2021,18,3,Williams,36,3,0.8958333333333334,0.043639518745878514
2021,18,6,Ferrari,36,1,0.9375,0.03458020844828051
2021,18,9,Red Bull,36,0,0.9583333333333334,0.028546616210194758
2021,18,51,Alfa Romeo,36,0,0.9583333333333334,0.028546616210194758
2021,18,117,Aston Martin,36,1,0.9375,0.03458020844828051
2021,18,131,Mercedes,36,1,0.9375,0.03458020844828051
2021,18,210,Haas F1 Team,36,3,0.8958333333333334,0.043639518745878514
2021,18,213,AlphaTauri,36,5,0.8541666666666666,0.05041986412528993
2021,18,214,Alpine F1 Team,36,4,0.875,0.0472455591261534
2021,19,1,McLaren,38,1,0.94,0.03325480947082957
2021,19,3,Williams,38,3,0.9,0.042008402520840295
2021,19,6,Ferrari,38,1,0.94,0.03325480947082957
2021,19,9,Red Bull,38,0,0.96,0.027439773622801412
2021,19,51,Alfa Romeo,38,0,0.96,0.027439773622801412
2021,19,117,Aston Martin,38,1,0.94,0.03325480947082957
2021,19,131,Mercedes,38,1,0.94,0.03325480947082957
2021,19,210,Haas F1 Team,38,3,0.9,0.042008402520840295
2021,19,213,AlphaTauri,38,5,0.86,0.048587902956656714
2021,19,214,Alpine F1 Team,38,4,0.88,0.04550371671956168
2021,20,1,McLaren,40,1,0.9423076923076923,0.03202708326938659
2021,20,3,Williams,40,4,0.8846153846153846,0.04388471301231017
2021,20,6,Ferrari,40,1,0.9423076923076923,0.03202708326938659
2021,20,9,Red Bull,40,0,0.9615384615384616,0.02641549306705558
2021,20,51,Alfa Romeo,40,0,0.9615384615384616,0.02641549306705558
2021,20,117,Aston Martin,40,1,0.9423076923076923,0.03202708326938659
2021,20,131,Mercedes,40,1,0.9423076923076923,0.03202708326938659
2021,20,210,Haas F1 Team,40,3,0.9038461538461539,0.04049418407429398
2021,20,213,AlphaTauri,40,5,0.8653846153846154,0.04688284934838468
2021,20,214,Alpine F1 Team,40,4,0.8846153846153846,0.04388471301231017
2021,21,1,McLaren,42,1,0.9444444444444444,0.03088663606347607
2021,21,3,Williams,42,4,0.8888888888888888,0.04237611507758188
2021,21,6,Ferrari,42,1,0.9444444444444444,0.03088663606347607
2021,21,9,Red Bull,42,0,0.962962962962963,0.025464875961197356
2021,21,51,Alfa Romeo,42,0,0.962962962962963,0.025464875961197356
2021,21,117,Aston Martin,42,1,0.9444444444444444,0.03088663606347607
2021,21,131,Mercedes,42,1,0.9444444444444444,0.03088663606347607
